ID,Year,AgeGroup,SmokingStatus,Maternities
1839,2016/17,Under 25,Former smoker,4
1840,2016/17,Under 25,Never smoked,11
1841,2016/17,25-34,Current smoker,9
1842,2016/17,25-34,Former smoker,3
1843,2016/17,25-34,Never smoked,28
1844,2016/17,25-34,Current smoker,6
1845,2016/17,25-34,Former smoker,3
1846,2016/17,25-34,Never smoked,37
1847,2016/17,25-34,Unknown,1
1848,2016/17,25-34,Current smoker,4
1849,2016/17,25-34,Never smoked,54
1850,2016/17,25-34,Current smoker,5
1851,2016/17,25-34,Former smoker,6
1852,2016/17,25-34,Never smoked,69
1853,2016/17,25-34,Unknown,1
1854,2016/17,25-34,Current smoker,2
1855,2016/17,25-34,Former smoker,8
1856,2016/17,25-34,Never smoked,255
1857,2016/17,25-34,Unknown,3
1858,2016/17,35 and over,Current smoker,2
1859,2016/17,35 and over,Never smoked,6
1860,2016/17,35 and over,Current smoker,2
1861,2016/17,35 and over,Former smoker,1
1862,2016/17,35 and over,Never smoked,14
1863,2016/17,35 and over,Unknown,1
1864,2016/17,35 and over,Former smoker,2
1865,2016/17,35 and over,Never smoked,21
1866,2016/17,35 and over,Current smoker,1
1867,2016/17,35 and over,Former smoker,2
1868,2016/17,35 and over,Never smoked,41
1869,2016/17,35 and over,Current smoker,3
1870,2016/17,35 and over,Former smoker,5
1871,2016/17,35 and over,Never smoked,176
1872,2016/17,35 and over,Unknown,3
1873,2016/17,Under 25,Current smoker,4
1874,2016/17,Under 25,Former smoker,2
1875,2016/17,Under 25,Never smoked,12
1876,2016/17,Under 25,Current smoker,2
1877,2016/17,Under 25,Former smoker,1
1878,2016/17,Under 25,Never smoked,11
1879,2016/17,Under 25,Former smoker,2
1880,2016/17,Under 25,Never smoked,7
1881,2016/17,Under 25,Current smoker,1
1882,2016/17,Under 25,Never smoked,8
1883,2016/17,Under 25,Former smoker,1
1884,2016/17,Under 25,Never smoked,19
1885,2016/17,25-34,Current smoker,6
1886,2016/17,25-34,Former smoker,1
1887,2016/17,25-34,Never smoked,19
1888,2016/17,25-34,Unknown,3
1889,2016/17,25-34,Current smoker,6
1890,2016/17,25-34,Former smoker,9
1891,2016/17,25-34,Never smoked,73
1892,2016/17,25-34,Unknown,6
1893,2016/17,25-34,Current smoker,1
1894,2016/17,25-34,Former smoker,2
1895,2016/17,25-34,Never smoked,4
1896,2016/17,35 and over,Current smoker,2
1897,2016/17,35 and over,Former smoker,1
1898,2016/17,35 and over,Never smoked,10
1899,2016/17,35 and over,Unknown,3
1900,2016/17,35 and over,Current smoker,1
1901,2016/17,35 and over,Former smoker,2
1902,2016/17,35 and over,Never smoked,36
1903,2016/17,35 and over,Unknown,3
1904,2016/17,35 and over,Former smoker,1
1905,2016/17,35 and over,Never smoked,4
1906,2016/17,Under 25,Current smoker,6
1907,2016/17,Under 25,Former smoker,2
1908,2016/17,Under 25,Never smoked,10
1909,2016/17,Under 25,Current smoker,3
1910,2016/17,Under 25,Former smoker,1
1911,2016/17,Under 25,Never smoked,10
1912,2016/17,Under 25,Former smoker,3
1913,2016/17,Under 25,Never smoked,1
1914,2016/17,25-34,Current smoker,16
1915,2016/17,25-34,Former smoker,8
1916,2016/17,25-34,Never smoked,111
1917,2016/17,25-34,Unknown,2
1918,2016/17,25-34,Current smoker,25
1919,2016/17,25-34,Former smoker,19
1920,2016/17,25-34,Never smoked,237
1921,2016/17,25-34,Unknown,6
1922,2016/17,25-34,Current smoker,8
1923,2016/17,25-34,Former smoker,6
1924,2016/17,25-34,Never smoked,135
1925,2016/17,25-34,Unknown,1
1926,2016/17,25-34,Current smoker,6
1927,2016/17,25-34,Former smoker,6
1928,2016/17,25-34,Never smoked,155
1929,2016/17,25-34,Unknown,7
1930,2016/17,25-34,Current smoker,3
1931,2016/17,25-34,Former smoker,12
1932,2016/17,25-34,Never smoked,182
1933,2016/17,25-34,Unknown,3
1934,2016/17,35 and over,Current smoker,1
1935,2016/17,35 and over,Former smoker,3
1936,2016/17,35 and over,Never smoked,31
1937,2016/17,35 and over,Current smoker,3
1938,2016/17,35 and over,Former smoker,4
1939,2016/17,35 and over,Never smoked,63
1940,2016/17,35 and over,Unknown,3
1941,2016/17,35 and over,Current smoker,1
1942,2016/17,35 and over,Former smoker,1
1943,2016/17,35 and over,Never smoked,45
1944,2016/17,35 and over,Unknown,1
1945,2016/17,35 and over,Never smoked,59
1946,2016/17,35 and over,Never smoked,66
1947,2016/17,35 and over,Unknown,3
1948,2016/17,Under 25,Current smoker,14
1949,2016/17,Under 25,Former smoker,7
1950,2016/17,Under 25,Never smoked,68
1951,2016/17,Under 25,Unknown,4
1952,2016/17,Under 25,Current smoker,19
1953,2016/17,Under 25,Former smoker,11
1954,2016/17,Under 25,Never smoked,74
1955,2016/17,Under 25,Unknown,2
1956,2016/17,Under 25,Current smoker,6
1957,2016/17,Under 25,Former smoker,6
1958,2016/17,Under 25,Never smoked,42
1959,2016/17,Under 25,Unknown,4
1960,2016/17,Under 25,Current smoker,5
1961,2016/17,Under 25,Former smoker,2
1962,2016/17,Under 25,Never smoked,28
1963,2016/17,Under 25,Former smoker,3
1964,2016/17,Under 25,Never smoked,22
1965,2016/17,25-34,Current smoker,48
1966,2016/17,25-34,Former smoker,9
1967,2016/17,25-34,Never smoked,67
1968,2016/17,25-34,Current smoker,65
1969,2016/17,25-34,Former smoker,31
1970,2016/17,25-34,Never smoked,129
1971,2016/17,25-34,Unknown,3
1972,2016/17,25-34,Current smoker,50
1973,2016/17,25-34,Former smoker,39
1974,2016/17,25-34,Never smoked,249
1975,2016/17,25-34,Unknown,3
1976,2016/17,25-34,Current smoker,40
1977,2016/17,25-34,Former smoker,48
1978,2016/17,25-34,Never smoked,323
1979,2016/17,25-34,Unknown,4
1980,2016/17,25-34,Current smoker,2
1981,2016/17,25-34,Former smoker,5
1982,2016/17,25-34,Never smoked,108
1983,2016/17,35 and over,Current smoker,14
1984,2016/17,35 and over,Former smoker,2
1985,2016/17,35 and over,Never smoked,13
1986,2016/17,35 and over,Current smoker,13
1987,2016/17,35 and over,Former smoker,11
1988,2016/17,35 and over,Never smoked,50
1989,2016/17,35 and over,Current smoker,8
1990,2016/17,35 and over,Former smoker,13
1991,2016/17,35 and over,Never smoked,113
1992,2016/17,35 and over,Unknown,2
1993,2016/17,35 and over,Current smoker,9
1994,2016/17,35 and over,Former smoker,21
1995,2016/17,35 and over,Never smoked,125
1996,2016/17,35 and over,Unknown,1
1997,2016/17,35 and over,Current smoker,5
1998,2016/17,35 and over,Former smoker,3
1999,2016/17,35 and over,Never smoked,44
2000,2016/17,35 and over,Unknown,1
2001,2016/17,Under 25,Current smoker,36
2002,2016/17,Under 25,Former smoker,11
2003,2016/17,Under 25,Never smoked,29
2004,2016/17,Under 25,Unknown,2
2005,2016/17,Under 25,Current smoker,31
2006,2016/17,Under 25,Former smoker,26
2007,2016/17,Under 25,Never smoked,53
2008,2016/17,Under 25,Unknown,1
2009,2016/17,Under 25,Current smoker,30
2010,2016/17,Under 25,Former smoker,23
2011,2016/17,Under 25,Never smoked,46
2012,2016/17,Under 25,Current smoker,16
2013,2016/17,Under 25,Former smoker,16
2014,2016/17,Under 25,Never smoked,62
2015,2016/17,Under 25,Current smoker,4
2016,2016/17,Under 25,Former smoker,4
2017,2016/17,Under 25,Never smoked,11
2018,2016/17,25-34,Current smoker,36
2019,2016/17,25-34,Former smoker,15
2020,2016/17,25-34,Never smoked,143
2021,2016/17,25-34,Unknown,5
2022,2016/17,25-34,Current smoker,4
2023,2016/17,25-34,Former smoker,3
2024,2016/17,25-34,Never smoked,55
2025,2016/17,25-34,Unknown,2
2026,2016/17,25-34,Current smoker,6
2027,2016/17,25-34,Former smoker,3
2028,2016/17,25-34,Never smoked,36
2029,2016/17,25-34,Unknown,1
2030,2016/17,25-34,Current smoker,4
2031,2016/17,25-34,Former smoker,7
2032,2016/17,25-34,Never smoked,53
2033,2016/17,25-34,Current smoker,1
2034,2016/17,25-34,Former smoker,2
2035,2016/17,25-34,Never smoked,30
2036,2016/17,35 and over,Current smoker,6
2037,2016/17,35 and over,Former smoker,3
2038,2016/17,35 and over,Never smoked,33
2039,2016/17,35 and over,Unknown,1
2040,2016/17,35 and over,Never smoked,15
2041,2016/17,35 and over,Former smoker,1
2042,2016/17,35 and over,Never smoked,15
2043,2016/17,35 and over,Current smoker,1
2044,2016/17,35 and over,Never smoked,25
2045,2016/17,35 and over,Unknown,2
2046,2016/17,35 and over,Former smoker,1
2047,2016/17,35 and over,Never smoked,19
2048,2016/17,Under 25,Current smoker,23
2049,2016/17,Under 25,Former smoker,8
2050,2016/17,Under 25,Never smoked,74
2051,2016/17,Under 25,Unknown,2
2052,2016/17,Under 25,Current smoker,2
2053,2016/17,Under 25,Never smoked,14
2054,2016/17,Under 25,Current smoker,2
2055,2016/17,Under 25,Former smoker,1
2056,2016/17,Under 25,Never smoked,8
2057,2016/17,Under 25,Former smoker,1
2058,2016/17,Under 25,Never smoked,4
2059,2016/17,25-34,Current smoker,20
2060,2016/17,25-34,Former smoker,9
2061,2016/17,25-34,Never smoked,34
2062,2016/17,25-34,Unknown,1
2063,2016/17,25-34,Current smoker,48
2064,2016/17,25-34,Former smoker,38
2065,2016/17,25-34,Never smoked,131
2066,2016/17,25-34,Unknown,2
2067,2016/17,25-34,Current smoker,8
2068,2016/17,25-34,Former smoker,35
2069,2016/17,25-34,Never smoked,97
2070,2016/17,25-34,Unknown,2
2071,2016/17,25-34,Current smoker,7
2072,2016/17,25-34,Former smoker,16
2073,2016/17,25-34,Never smoked,82
2074,2016/17,25-34,Unknown,3
2075,2016/17,25-34,Current smoker,4
2076,2016/17,25-34,Former smoker,20
2077,2016/17,25-34,Never smoked,75
2078,2016/17,35 and over,Current smoker,1
2079,2016/17,35 and over,Former smoker,2
2080,2016/17,35 and over,Never smoked,14
2081,2016/17,35 and over,Current smoker,9
2082,2016/17,35 and over,Former smoker,13
2083,2016/17,35 and over,Never smoked,48
2084,2016/17,35 and over,Current smoker,3
2085,2016/17,35 and over,Former smoker,13
2086,2016/17,35 and over,Never smoked,35
2087,2016/17,35 and over,Unknown,1
2088,2016/17,35 and over,Former smoker,5
2089,2016/17,35 and over,Never smoked,46
2090,2016/17,35 and over,Current smoker,1
2091,2016/17,35 and over,Former smoker,6
2092,2016/17,35 and over,Never smoked,34
2093,2016/17,Under 25,Current smoker,14
2094,2016/17,Under 25,Former smoker,5
2095,2016/17,Under 25,Never smoked,16
2096,2016/17,Under 25,Current smoker,31
2097,2016/17,Under 25,Former smoker,19
2098,2016/17,Under 25,Never smoked,35
2099,2016/17,Under 25,Unknown,2
2100,2016/17,Under 25,Current smoker,6
2101,2016/17,Under 25,Former smoker,14
2102,2016/17,Under 25,Never smoked,17
2103,2016/17,Under 25,Current smoker,2
2104,2016/17,Under 25,Former smoker,2
2105,2016/17,Under 25,Never smoked,13
2106,2016/17,Under 25,Current smoker,3
2107,2016/17,Under 25,Former smoker,2
2108,2016/17,Under 25,Never smoked,4
2109,2016/17,25-34,Current smoker,2
2110,2016/17,25-34,Former smoker,2
2111,2016/17,25-34,Never smoked,6
2112,2016/17,25-34,Current smoker,18
2113,2016/17,25-34,Former smoker,9
2114,2016/17,25-34,Never smoked,73
2115,2016/17,25-34,Current smoker,31
2116,2016/17,25-34,Former smoker,18
2117,2016/17,25-34,Never smoked,99
2118,2016/17,25-34,Unknown,1
2119,2016/17,25-34,Current smoker,22
2120,2016/17,25-34,Former smoker,19
2121,2016/17,25-34,Never smoked,135
2122,2016/17,25-34,Unknown,2
2123,2016/17,25-34,Current smoker,8
2124,2016/17,25-34,Former smoker,9
2125,2016/17,25-34,Never smoked,89
2126,2016/17,25-34,Unknown,1
2127,2016/17,35 and over,Current smoker,2
2128,2016/17,35 and over,Never smoked,1
2129,2016/17,35 and over,Current smoker,6
2130,2016/17,35 and over,Former smoker,1
2131,2016/17,35 and over,Never smoked,17
2132,2016/17,35 and over,Current smoker,10
2133,2016/17,35 and over,Former smoker,2
2134,2016/17,35 and over,Never smoked,26
2135,2016/17,35 and over,Unknown,1
2136,2016/17,35 and over,Current smoker,3
2137,2016/17,35 and over,Former smoker,5
2138,2016/17,35 and over,Never smoked,50
2139,2016/17,35 and over,Former smoker,3
2140,2016/17,35 and over,Never smoked,25
2141,2016/17,35 and over,Unknown,1
2142,2016/17,Under 25,Current smoker,2
2143,2016/17,Under 25,Former smoker,1
2144,2016/17,Under 25,Never smoked,3
2145,2016/17,Under 25,Current smoker,23
2146,2016/17,Under 25,Former smoker,6
2147,2016/17,Under 25,Never smoked,31
2148,2016/17,Under 25,Unknown,1
2149,2016/17,Under 25,Current smoker,15
2150,2016/17,Under 25,Former smoker,10
2151,2016/17,Under 25,Never smoked,32
2152,2016/17,Under 25,Current smoker,6
2153,2016/17,Under 25,Former smoker,2
2154,2016/17,Under 25,Never smoked,30
2155,2016/17,Under 25,Current smoker,8
2156,2016/17,Under 25,Former smoker,5
2157,2016/17,Under 25,Never smoked,21
2158,2016/17,25-34,Current smoker,101
2159,2016/17,25-34,Former smoker,57
2160,2016/17,25-34,Never smoked,176
2161,2016/17,25-34,Unknown,2
2162,2016/17,25-34,Current smoker,33
2163,2016/17,25-34,Former smoker,22
2164,2016/17,25-34,Never smoked,100
2165,2016/17,25-34,Current smoker,6
2166,2016/17,25-34,Former smoker,12
2167,2016/17,25-34,Never smoked,55
2168,2016/17,25-34,Unknown,1
2169,2016/17,25-34,Current smoker,10
2170,2016/17,25-34,Former smoker,10
2171,2016/17,25-34,Never smoked,60
2172,2016/17,25-34,Current smoker,2
2173,2016/17,25-34,Former smoker,4
2174,2016/17,25-34,Never smoked,28
2175,2016/17,25-34,Unknown,1
2176,2016/17,35 and over,Current smoker,19
2177,2016/17,35 and over,Former smoker,12
2178,2016/17,35 and over,Never smoked,39
2179,2016/17,35 and over,Current smoker,6
2180,2016/17,35 and over,Former smoker,6
2181,2016/17,35 and over,Never smoked,37
2182,2016/17,35 and over,Former smoker,2
2183,2016/17,35 and over,Never smoked,22
2184,2016/17,35 and over,Current smoker,3
2185,2016/17,35 and over,Former smoker,7
2186,2016/17,35 and over,Never smoked,28
2187,2016/17,35 and over,Unknown,1
2188,2016/17,35 and over,Current smoker,2
2189,2016/17,35 and over,Former smoker,5
2190,2016/17,35 and over,Never smoked,14
2191,2016/17,Under 25,Current smoker,80
2192,2016/17,Under 25,Former smoker,36
2193,2016/17,Under 25,Never smoked,84
2194,2016/17,Under 25,Unknown,1
2195,2016/17,Under 25,Current smoker,15
2196,2016/17,Under 25,Former smoker,8
2197,2016/17,Under 25,Never smoked,33
2198,2016/17,Under 25,Current smoker,6
2199,2016/17,Under 25,Former smoker,7
2200,2016/17,Under 25,Never smoked,11
2201,2016/17,Under 25,Current smoker,3
2202,2016/17,Under 25,Former smoker,1
2203,2016/17,Under 25,Never smoked,7
2204,2016/17,Under 25,Never smoked,2
2205,2016/17,25-34,Current smoker,1
2206,2016/17,25-34,Former smoker,1
2207,2016/17,25-34,Never smoked,2
2208,2016/17,25-34,Current smoker,8
2209,2016/17,25-34,Former smoker,5
2210,2016/17,25-34,Never smoked,29
2211,2016/17,25-34,Current smoker,1
2212,2016/17,25-34,Former smoker,5
2213,2016/17,25-34,Never smoked,44
2214,2016/17,25-34,Former smoker,4
2215,2016/17,25-34,Never smoked,12
2216,2016/17,35 and over,Current smoker,1
2217,2016/17,35 and over,Former smoker,2
2218,2016/17,35 and over,Never smoked,3
2219,2016/17,35 and over,Former smoker,1
2220,2016/17,35 and over,Never smoked,3
2221,2016/17,35 and over,Current smoker,3
2222,2016/17,35 and over,Never smoked,11
2223,2016/17,35 and over,Never smoked,4
2224,2016/17,35 and over,Unknown,1
2225,2016/17,Under 25,Never smoked,3
2226,2016/17,Under 25,Current smoker,5
2227,2016/17,Under 25,Former smoker,1
2228,2016/17,Under 25,Never smoked,10
2229,2016/17,Under 25,Current smoker,1
2230,2016/17,Under 25,Former smoker,6
2231,2016/17,Under 25,Never smoked,7
2232,2016/17,Under 25,Never smoked,3
2233,2016/17,25-34,Current smoker,14
2234,2016/17,25-34,Former smoker,6
2235,2016/17,25-34,Never smoked,17
2236,2016/17,25-34,Unknown,5
2237,2016/17,25-34,Current smoker,17
2238,2016/17,25-34,Former smoker,13
2239,2016/17,25-34,Never smoked,68
2240,2016/17,25-34,Unknown,12
2241,2016/17,25-34,Current smoker,22
2242,2016/17,25-34,Former smoker,20
2243,2016/17,25-34,Never smoked,100
2244,2016/17,25-34,Unknown,26
2245,2016/17,25-34,Current smoker,15
2246,2016/17,25-34,Former smoker,16
2247,2016/17,25-34,Never smoked,109
2248,2016/17,25-34,Unknown,18
2249,2016/17,25-34,Current smoker,2
2250,2016/17,25-34,Former smoker,7
2251,2016/17,25-34,Never smoked,29
2252,2016/17,25-34,Unknown,5
2253,2016/17,35 and over,Current smoker,2
2254,2016/17,35 and over,Never smoked,6
2255,2016/17,35 and over,Unknown,1
2256,2016/17,35 and over,Current smoker,6
2257,2016/17,35 and over,Former smoker,2
2258,2016/17,35 and over,Never smoked,19
2259,2016/17,35 and over,Unknown,6
2260,2016/17,35 and over,Current smoker,6
2261,2016/17,35 and over,Former smoker,13
2262,2016/17,35 and over,Never smoked,36
2263,2016/17,35 and over,Unknown,13
2264,2016/17,35 and over,Current smoker,3
2265,2016/17,35 and over,Former smoker,7
2266,2016/17,35 and over,Never smoked,43
2267,2016/17,35 and over,Unknown,9
2268,2016/17,35 and over,Never smoked,16
2269,2016/17,35 and over,Unknown,5
2270,2016/17,Under 25,Current smoker,14
2271,2016/17,Under 25,Former smoker,2
2272,2016/17,Under 25,Never smoked,6
2273,2016/17,Under 25,Unknown,7
2274,2016/17,Under 25,Current smoker,12
2275,2016/17,Under 25,Former smoker,10
2276,2016/17,Under 25,Never smoked,22
2277,2016/17,Under 25,Unknown,1
2278,2016/17,Under 25,Current smoker,16
2279,2016/17,Under 25,Former smoker,14
2280,2016/17,Under 25,Never smoked,30
2281,2016/17,Under 25,Unknown,5
2282,2016/17,Under 25,Current smoker,6
2283,2016/17,Under 25,Former smoker,6
2284,2016/17,Under 25,Never smoked,24
2285,2016/17,Under 25,Unknown,1
2286,2016/17,Under 25,Current smoker,2
2287,2016/17,Under 25,Former smoker,1
2288,2016/17,Under 25,Never smoked,2
2289,2016/17,25-34,Never smoked,2
2290,2016/17,25-34,Current smoker,4
2291,2016/17,25-34,Former smoker,2
2292,2016/17,25-34,Never smoked,37
2293,2016/17,25-34,Current smoker,10
2294,2016/17,25-34,Former smoker,7
2295,2016/17,25-34,Never smoked,99
2296,2016/17,25-34,Unknown,1
2297,2016/17,35 and over,Former smoker,1
2298,2016/17,35 and over,Never smoked,2
2299,2016/17,35 and over,Current smoker,1
2300,2016/17,35 and over,Former smoker,1
2301,2016/17,35 and over,Never smoked,14
2302,2016/17,35 and over,Current smoker,1
2303,2016/17,35 and over,Former smoker,2
2304,2016/17,35 and over,Never smoked,33
2305,2016/17,Under 25,Never smoked,2
2306,2016/17,Under 25,Current smoker,4
2307,2016/17,Under 25,Former smoker,2
2308,2016/17,Under 25,Never smoked,8
2309,2016/17,Under 25,Current smoker,4
2310,2016/17,Under 25,Former smoker,5
2311,2016/17,Under 25,Never smoked,12
2312,2016/17,25-34,Current smoker,35
2313,2016/17,25-34,Former smoker,35
2314,2016/17,25-34,Never smoked,74
2315,2016/17,25-34,Unknown,2
2316,2016/17,25-34,Current smoker,32
2317,2016/17,25-34,Former smoker,30
2318,2016/17,25-34,Never smoked,90
2319,2016/17,25-34,Current smoker,12
2320,2016/17,25-34,Former smoker,24
2321,2016/17,25-34,Never smoked,96
2322,2016/17,25-34,Current smoker,4
2323,2016/17,25-34,Former smoker,9
2324,2016/17,25-34,Never smoked,46
2325,2016/17,25-34,Current smoker,3
2326,2016/17,25-34,Former smoker,9
2327,2016/17,25-34,Never smoked,61
2328,2016/17,25-34,Unknown,1
2329,2016/17,35 and over,Current smoker,4
2330,2016/17,35 and over,Former smoker,7
2331,2016/17,35 and over,Never smoked,12
2332,2016/17,35 and over,Current smoker,7
2333,2016/17,35 and over,Former smoker,6
2334,2016/17,35 and over,Never smoked,29
2335,2016/17,35 and over,Current smoker,7
2336,2016/17,35 and over,Former smoker,7
2337,2016/17,35 and over,Never smoked,32
2338,2016/17,35 and over,Former smoker,5
2339,2016/17,35 and over,Never smoked,28
2340,2016/17,35 and over,Former smoker,10
2341,2016/17,35 and over,Never smoked,29
2342,2016/17,Under 25,Current smoker,30
2343,2016/17,Under 25,Former smoker,15
2344,2016/17,Under 25,Never smoked,34
2345,2016/17,Under 25,Unknown,1
2346,2016/17,Under 25,Current smoker,24
2347,2016/17,Under 25,Former smoker,19
2348,2016/17,Under 25,Never smoked,33
2349,2016/17,Under 25,Unknown,1
2350,2016/17,Under 25,Current smoker,8
2351,2016/17,Under 25,Former smoker,4
2352,2016/17,Under 25,Never smoked,19
2353,2016/17,Under 25,Current smoker,3
2354,2016/17,Under 25,Former smoker,4
2355,2016/17,Under 25,Never smoked,5
2356,2016/17,Under 25,Former smoker,1
2357,2016/17,Under 25,Never smoked,8
2358,2016/17,25-34,Current smoker,90
2359,2016/17,25-34,Former smoker,45
2360,2016/17,25-34,Never smoked,248
2361,2016/17,25-34,Unknown,16
2362,2016/17,25-34,Current smoker,75
2363,2016/17,25-34,Former smoker,65
2364,2016/17,25-34,Never smoked,348
2365,2016/17,25-34,Unknown,15
2366,2016/17,25-34,Current smoker,36
2367,2016/17,25-34,Former smoker,40
2368,2016/17,25-34,Never smoked,258
2369,2016/17,25-34,Unknown,15
2370,2016/17,25-34,Current smoker,22
2371,2016/17,25-34,Former smoker,24
2372,2016/17,25-34,Never smoked,407
2373,2016/17,25-34,Unknown,26
2374,2016/17,25-34,Current smoker,8
2375,2016/17,25-34,Former smoker,17
2376,2016/17,25-34,Never smoked,206
2377,2016/17,25-34,Unknown,6
2378,2016/17,35 and over,Current smoker,14
2379,2016/17,35 and over,Former smoker,12
2380,2016/17,35 and over,Never smoked,66
2381,2016/17,35 and over,Unknown,7
2382,2016/17,35 and over,Current smoker,18
2383,2016/17,35 and over,Former smoker,12
2384,2016/17,35 and over,Never smoked,97
2385,2016/17,35 and over,Unknown,6
2386,2016/17,35 and over,Current smoker,9
2387,2016/17,35 and over,Former smoker,14
2388,2016/17,35 and over,Never smoked,101
2389,2016/17,35 and over,Unknown,4
2390,2016/17,35 and over,Current smoker,5
2391,2016/17,35 and over,Former smoker,13
2392,2016/17,35 and over,Never smoked,175
2393,2016/17,35 and over,Unknown,6
2394,2016/17,35 and over,Current smoker,5
2395,2016/17,35 and over,Former smoker,5
2396,2016/17,35 and over,Never smoked,99
2397,2016/17,35 and over,Unknown,7
2398,2016/17,Under 25,Current smoker,70
2399,2016/17,Under 25,Former smoker,36
2400,2016/17,Under 25,Never smoked,110
2401,2016/17,Under 25,Unknown,8
2402,2016/17,Under 25,Current smoker,52
2403,2016/17,Under 25,Former smoker,24
2404,2016/17,Under 25,Never smoked,113
2405,2016/17,Under 25,Unknown,5
2406,2016/17,Under 25,Current smoker,22
2407,2016/17,Under 25,Former smoker,16
2408,2016/17,Under 25,Never smoked,49
2409,2016/17,Under 25,Unknown,4
2410,2016/17,Under 25,Current smoker,7
2411,2016/17,Under 25,Former smoker,5
2412,2016/17,Under 25,Never smoked,30
2413,2016/17,Under 25,Unknown,1
2414,2016/17,Under 25,Current smoker,2
2415,2016/17,Under 25,Former smoker,2
2416,2016/17,Under 25,Never smoked,11
2417,2016/17,Under 25,Unknown,1
2418,2016/17,25-34,Current smoker,14
2419,2016/17,25-34,Former smoker,4
2420,2016/17,25-34,Never smoked,65
2421,2016/17,25-34,Current smoker,6
2422,2016/17,25-34,Former smoker,4
2423,2016/17,25-34,Never smoked,68
2424,2016/17,25-34,Current smoker,4
2425,2016/17,25-34,Former smoker,5
2426,2016/17,25-34,Never smoked,50
2427,2016/17,25-34,Unknown,2
2428,2016/17,25-34,Current smoker,5
2429,2016/17,25-34,Former smoker,5
2430,2016/17,25-34,Never smoked,106
2431,2016/17,25-34,Unknown,1
2432,2016/17,25-34,Former smoker,1
2433,2016/17,25-34,Never smoked,89
2434,2016/17,35 and over,Current smoker,2
2435,2016/17,35 and over,Never smoked,17
2436,2016/17,35 and over,Current smoker,2
2437,2016/17,35 and over,Never smoked,18
2438,2016/17,35 and over,Never smoked,34
2439,2016/17,35 and over,Unknown,1
2440,2016/17,35 and over,Current smoker,3
2441,2016/17,35 and over,Former smoker,5
2442,2016/17,35 and over,Never smoked,75
2443,2016/17,35 and over,Unknown,3
2444,2016/17,35 and over,Never smoked,69
2445,2016/17,Under 25,Current smoker,6
2446,2016/17,Under 25,Former smoker,6
2447,2016/17,Under 25,Never smoked,38
2448,2016/17,Under 25,Unknown,1
2449,2016/17,Under 25,Current smoker,9
2450,2016/17,Under 25,Former smoker,2
2451,2016/17,Under 25,Never smoked,24
2452,2016/17,Under 25,Unknown,1
2453,2016/17,Under 25,Current smoker,4
2454,2016/17,Under 25,Former smoker,2
2455,2016/17,Under 25,Never smoked,21
2456,2016/17,Under 25,Current smoker,3
2457,2016/17,Under 25,Former smoker,4
2458,2016/17,Under 25,Never smoked,20
2459,2016/17,Under 25,Unknown,1
2460,2016/17,Under 25,Current smoker,1
2461,2016/17,Under 25,Never smoked,8
2462,2016/17,25-34,Current smoker,53
2463,2016/17,25-34,Former smoker,19
2464,2016/17,25-34,Never smoked,124
2465,2016/17,25-34,Unknown,2
2466,2016/17,25-34,Current smoker,57
2467,2016/17,25-34,Former smoker,42
2468,2016/17,25-34,Never smoked,276
2469,2016/17,25-34,Unknown,3
2470,2016/17,25-34,Current smoker,17
2471,2016/17,25-34,Former smoker,21
2472,2016/17,25-34,Never smoked,195
2473,2016/17,25-34,Unknown,1
2474,2016/17,25-34,Current smoker,22
2475,2016/17,25-34,Former smoker,16
2476,2016/17,25-34,Never smoked,220
2477,2016/17,25-34,Current smoker,23
2478,2016/17,25-34,Former smoker,26
2479,2016/17,25-34,Never smoked,493
2480,2016/17,25-34,Unknown,1
2481,2016/17,35 and over,Current smoker,15
2482,2016/17,35 and over,Former smoker,6
2483,2016/17,35 and over,Never smoked,32
2484,2016/17,35 and over,Current smoker,20
2485,2016/17,35 and over,Former smoker,8
2486,2016/17,35 and over,Never smoked,68
2487,2016/17,35 and over,Current smoker,6
2488,2016/17,35 and over,Former smoker,3
2489,2016/17,35 and over,Never smoked,58
2490,2016/17,35 and over,Current smoker,11
2491,2016/17,35 and over,Former smoker,4
2492,2016/17,35 and over,Never smoked,87
2493,2016/17,35 and over,Unknown,1
2494,2016/17,35 and over,Current smoker,3
2495,2016/17,35 and over,Former smoker,5
2496,2016/17,35 and over,Never smoked,236
2497,2016/17,Under 25,Current smoker,36
2498,2016/17,Under 25,Former smoker,11
2499,2016/17,Under 25,Never smoked,48
2500,2016/17,Under 25,Unknown,1
2501,2016/17,Under 25,Current smoker,58
2502,2016/17,Under 25,Former smoker,22
2503,2016/17,Under 25,Never smoked,76
2504,2016/17,Under 25,Unknown,2
2505,2016/17,Under 25,Current smoker,27
2506,2016/17,Under 25,Former smoker,10
2507,2016/17,Under 25,Never smoked,26
2508,2016/17,Under 25,Current smoker,12
2509,2016/17,Under 25,Former smoker,4
2510,2016/17,Under 25,Never smoked,34
2511,2016/17,Under 25,Unknown,1
2512,2016/17,Under 25,Current smoker,12
2513,2016/17,Under 25,Former smoker,8
2514,2016/17,Under 25,Never smoked,31
2515,2016/17,25-34,Current smoker,18
2516,2016/17,25-34,Former smoker,3
2517,2016/17,25-34,Never smoked,19
2518,2016/17,25-34,Current smoker,29
2519,2016/17,25-34,Former smoker,15
2520,2016/17,25-34,Never smoked,74
